,type,title,director,country,release_year,rating,listed_in,IMDB_Rating
60,Movie,Jaws,Steven Spielberg,United States,1975,PG,"Action & Adventure, Classic Movies, Dramas",8.0
65,Movie,Training Day,Antoine Fuqua,United States,2001,R,"Dramas, Thrillers",7.7
201,Movie,Do the Right Thing,Spike Lee,United States,1989,R,"Classic Movies, Comedies, Dramas",8.0
227,Movie,Once Upon a Time in America,Sergio Leone,Italy,1984,R,"Classic Movies, Dramas",8.4
266,Movie,Wind River,Taylor Sheridan,United Kingdom,2017,R,"Dramas, Independent Movies",7.7
468,Movie,Catch Me If You Can,Steven Spielberg,United States,2002,PG-13,Dramas,8.1
472,Movie,Ferris Bueller's Day Off,John Hughes,United States,1986,PG-13,"Classic Movies, Comedies, Cult Movies",7.8
478,Movie,Inception,Christopher Nolan,United States,2010,PG-13,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",8.8
479,Movie,Magnolia,Paul Thomas Anderson,United States,1999,R,"Dramas, Independent Movies",8.0
501,Movie,The Machinist,Brad Anderson,Spain,2004,R,"Dramas, Independent Movies, Thrillers",7.7
539,Movie,Django Unchained,Quentin Tarantino,United States,2012,R,"Action & Adventure, Dramas",8.4
714,Movie,Boogie Nights,Paul Thomas Anderson,United States,1997,R,"Comedies, Dramas, Independent Movies",7.9
738,Movie,Seven Pounds,Gabriele Muccino,United States,2008,PG-13,"Dramas, Romantic Movies",7.6
741,Movie,Star Trek,J.J. Abrams,United States,2009,PG-13,"Action & Adventure, Sci-Fi & Fantasy",7.9
747,Movie,The Game,David Fincher,United States,1997,R,Thrillers,7.8
778,TV Show,Ray,"Srijit Mukherji, Vasan Bala, Abhishek Chaubey",Not Given,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",7.7
811,Movie,Silver Linings Playbook,David O. Russell,United States,2012,R,"Comedies, Dramas, Independent Movies",7.7
867,Movie,Flipped,Rob Reiner,United States,2010,PG,"Comedies, Dramas, Romantic Movies",7.7
871,Movie,I Am Sam,Jessie Nelson,United States,2001,PG-13,Dramas,7.7
873,Movie,Million Dollar Baby,Clint Eastwood,United States,2004,PG-13,"Dramas, Sports Movies",8.1
